,index,category,answer,question
2876,3646,state seals,symbols on its seal include icebergs & the northern lights,Alaska
2877,3647,state seals,"although not known for its wineries, connecticut has 3 of these plants on its state seal",Grapes/grapevines
2878,3648,state seals,"this structure, a honey of a symbol for hard work & industry, graces utah's seal",Beehive
2879,3649,state seals,south dakota's state seal features a riverboat steaming along this major river,Missouri River
2880,3650,state seals,this bird is depicted on louisiana's state seal in a nest with her 3 young,Brown pelican
2881,3885,national parks,"this park contains more than 10,000 thermal sites, the greatest such concentration in the world",Yellowstone
2882,3886,national parks,"cape sable, the southernmost point on the u.s. mainland, is located in this florida national park",Everglades
2883,3887,national parks,this arizona park is named for the huge cacti that are unique to the region,Saguaro National Park
2884,3888,national parks,this state's theodore roosevelt nat'l park encompasses teddy's elkhorn ranch & part of the badlands,North Dakota
2885,3889,national parks,"although glacier bay national park is in alaska, glacier national park is in this state",Montana
2886,3966,where there's a hill,it's the only national memorial found in south dakota's black hills,Mount Rushmore
2887,3967,where there's a hill,"the name of this hill on which jesus was crucified means ""skull\""",Golgotha
2888,3968,where there's a hill,"in oyster bay, new york you can visit sagamore hill, this president's home",Theodore Roosevelt
2889,3969,where there's a hill,the first transatlantic wireless message was received in 1901 at signal hill near st. john's in this province,Newfoundland
2890,3970,where there's a hill,"on february 23, 1945 u.s. marines raised the american flag on this iwo jima hill",Mount Suribachi
2891,4279,states by counties,"jefferson, deaf smith, el paso",Texas
2892,4280,states by counties,"jefferson, cape girardeau, ozark",Missouri
2893,4281,states by counties,"jefferson, cherokee, muskogee",Oklahoma
2894,4282,states by counties,"jefferson, scotts bluff, platte",Nebraska
2895,4283,states by counties,"jefferson, hood river, clackamas",Oregon
2896,4801,museums,"princess leia's gown & other cool stuff from this film series are at chicago's field museum till january 7, 2001",Star Wars
2897,4802,museums,"the viking ship museum is one of the top attractions in oslo, the capital of this country",Norway
2898,4803,museums,"it's ""gouda"" to know there's a museum featuring types of this dairy product in alkmaar, holland",cheese
2899,4804,museums,"there's a new england pirate museum in this massachusetts city, as well as a witch museum",Salem
2900,4805,museums,"when visiting yokohama, ""worm"" your way over to the museum devoted to this fine fabric",silk
2901,4918,mountains,it's one of the main attractions of the pike national forest,Pikes Peak
2902,4919,mountains,"of uncle mountain, sister mountain or grandfather mountain, the highest peak in the blue ridge range",Grandfather Mountain
2903,4920,mountains,the name of mont blanc means this color mountain,white
2904,4921,mountains,"this home of thomas jefferson sits atop a ""little mountain"", which is what its name means in italian",Monticello
2905,4922,mountains,riding the skylift to the top of stone mountain is one of the fun things to do in this southern state,Georgia
2906,5009,countries of the world,"this vast country is about 1,000 miles northwest of new zealand",Australia
2907,5010,countries of the world,this country with a direction in its name changed direction in the '90s by ending its apartheid policy,South Africa
2908,5011,countries of the world,in the 1800s argentinean cowboys called this inspired the works of many writers & artists,gauchos
2909,5012,countries of the world,its northernmost mainland point lies on the jutland peninsula at its border with denmark,Germany
2910,5013,countries of the world,"the symbols on this country's coat of arms represent aragon, castile & other historic kingdoms",Spain
2911,5020,"geograph""ia\""",victoria is the capital of this canadian province,British Columbia
2912,5021,"geograph""ia\""",in 1976 nadia comaneci scored perfect 10s & olympic gold for this country,Romania
2913,5022,"geograph""ia\""",george washington helped lay out the streets of this virginia city,Alexandria
2914,5023,"geograph""ia\""",lake titicaca is on the border of peru & this country,Bolivia
2915,5024,"geograph""ia\""",this country is moving its capital to dodoma from dar es salaam,Tanzania
2916,5322,capital city birthplaces,boris pasternak,Moscow
2917,5323,capital city birthplaces,sadaharu oh,Tokyo
2918,5324,capital city birthplaces,sir walter scott,Edinburgh
2919,5325,capital city birthplaces,simon bolivar,Caracas
2920,5326,capital city birthplaces,jonathan swift,Dublin
2921,5785,states by cities & towns,"laughlin, elko, sparks",Nevada
2922,5786,states by cities & towns,"heber springs, hot springs, hope",Arkansas
2923,5787,states by cities & towns,"rhinelander, appleton, eau claire",Wisconsin
2924,5788,states by cities & towns,"woodstock, dunwoody, fort oglethorpe",Georgia
2925,5789,states by cities & towns,"south holland, northbrook, east st. louis",Illinois
2926,5820,where for art,"when the musee d'orsay opened in 1986, some of its oldest works came from this museum established in 1793",The Louvre
2927,5821,where for art,this spanish museum is home to pedro pablo rubens' version of st. george & the dragon,The Prado
2928,5822,where for art,"it claims on its website to have ""the largest collection of ancient egyptian material outside cairo\""",The British Museum
2929,5823,where for art,original aboriginal art has been shown in the national gallery of australia in this city,Canberra
2930,5824,where for art,"his urban estate at 900 east ave. in rochester, n.y. is a museum of photography & film",George Eastman
2931,6077,state flags,the 8 stripes on its flag represent the 8 main islands,Hawaii
2932,6078,state flags,"this state's flag, adopted in 1839, was the third design used when it was a republic",Texas
2933,6079,state flags,the grizzly bear prominently featured on this state's flag dates back to 1846,California
2934,6080,state flags,state whose flag is seen here (in the southwest),New Mexico
2935,6081,state flags,it's the only state with a different design on the reverse of its flag: a yellow beaver,Oregon
2936,6213,territorial governors,in 1865 acting idaho governor c. dewitt smith died after a strenuous match at this board game,Chess
2937,6214,territorial governors,"in december 1941 joseph poindexter, governor of this territory, declared martial law",Hawaii
2938,6215,territorial governors,"he was indiana governor for 12 years, 144 times longer than he was u.s. president",William Henry Harrison
2939,6216,territorial governors,"missouri's governor from 1813 to 1820, he named one of his sons after meriwether lewis",William Clark
2940,6217,territorial governors,"before the city of lincoln was chosen, thomas cuming helped his friends by making this city nebraska's capital",Omaha
2941,6271,state capital nicknames,"the ""mile high city\""",Denver
2942,6272,state capital nicknames,"the ""city of paul revere\""",Boston
2943,6273,state capital nicknames,"the ""fun-tier capital of texas\""",Austin
2944,6274,state capital nicknames,"\""arkopolis\""","Little Rock, Arkansas"
2945,6275,state capital nicknames,"the ""bluegrass capital\""","Frankfort, Kentucky"
2946,6291,archipelagos,it's the only archipelago that's a u.s. state,Hawaii
2947,6292,archipelagos,the kodiak archipelago in this gulf was the site of the first russian colony in north america,Gulf of Alaska
2948,6293,archipelagos,"the islands of the sulu archipelago south of mindanao form the sulu, basilan & tawitawi provinces of this asian nation",Philippines
2949,6294,archipelagos,ecuador calls this island group archipielago de colon,Galapagos Islands
2950,6295,archipelagos,this atoll at the southern end of the chagos archipelago in the indian ocean is the site of a u.s. naval base,Diego Garcia
2951,6600,museums of las vegas?!,"at the ""world"" of these chocolate candies you'll learn about the rigorous training they endure to earn their letters",M&M's
2952,6601,museums of las vegas?!,art lover steve wynn was once chairman of this italian-themed hotel which still boasts a grand art gallery,the Bellagio
2953,6654,state capitals,this colorado capital was the first city to use the community chest to finance its charitable agencies,Denver
2954,6655,state capitals,"this state capital is located about 2,500 miles west of los angeles",Honolulu
2955,6656,state capitals,you'll find the john f. kennedy federal building in this state capital,Boston
2956,6657,state capitals,"this state capital's metropolitan area includes the cities of glendale, scottsdale & sun city",Phoenix
2957,6658,state capitals,"this capital is the headquarters for ups, the turner broadcasting system & delta air lines",Atlanta
2958,6797,mountains,the highest peak outside of asia is found in this mountain range,the Andes (Mount Aconcagua)
2959,6808,museums,"hieronymus bosch's ""garden of earthly delights"" is one of the delightful paintings at this spanish museum",The Prado
2960,6809,museums,"a tokyo museum dedicated to this beatle opened oct. 9, 2000, which would have been his 60th birthday",John Lennon
2961,6810,museums,"seen here, manet's painting of ""nana"" hangs in the kunshalle, a great museum in this seaport of northern germany",Hamburg
2962,6811,museums,"we wonder what they sell in the gift shop of the opium house museum in sop ruak, this nation's golden triangle",Thailand
2963,6812,museums,"the central gallery of this french museum, once a train station, is seen here",Musee d'Orsay
2964,6937,rivers,it was once believed that the rising of this river was caused by the tears of the goddess isis,Nile
2965,6938,rivers,the indus starts in these mountains,Himalayas
2966,6939,rivers,"the morava in moravia empties into this river, one of europe's chief waterways",Danube
2967,6940,rivers,the papal palace in avignon overlooks this river,Rhone
2968,6941,rivers,in 1966 this river caused major damage when it flooded florence,Arno
2969,7224,state of mine,"this state's school of mines, based in golden, has an experimental mine in idaho springs",Colorado
2970,7225,state of mine,this state's wilkes-barre district won a mine reclamation award for its upper lehigh site,Pennsylvania
2971,7226,state of mine,historic mining centers in this state include gallup for coal & grants for uranium,New Mexico
2972,7227,state of mine,"the documentary ""harlan county u.s.a."" studies a miners' strike in this state",Kentucky
2973,7228,state of mine,a 1907 disaster killed some 360 coal miners near fairmont in this state,West Virginia
2974,7252,state of mind,"if you're this ""on your luck"", you might also be this ""in the mouth\""",down
2975,7253,state of mind,"often followed by ""up"", it can mean ""not liquored up"" or ""serious in demeanor\""",sobered
2976,7254,state of mind,"this 7-letter word for ""thoughtful"" comes from the french for ""to think\""",pensive
2977,7255,state of mind,"as well as ""in good humor"", it means a machine that grinds up pieces of wood",chipper
2978,7256,state of mind,"john quincy adams' last words were ""i am"" this synonym of satisfied",content
2979,7635,capital rivers,belgrade,Danube
2980,7636,capital rivers,dublin,Liffey
2981,7637,capital rivers,warsaw,Vistula
2982,8097,states by senators,akaka & inouye,Hawaii
2983,8098,states by senators,thurmond & hollings,South Carolina
2984,8099,states by senators,cochran & lott,Mississippi
2985,8100,states by senators,specter & santorum,Pennsylvania
2986,8101,states by senators,grassley & harkin,Iowa
2987,8336,countries by region,"oaxaca, durango, nayarit",Mexico
2988,8337,countries by region,"thessaly, epirus, peloponnesus",Greece
2989,8338,countries by region,"hebei, hubei, shandong",China
2990,8339,countries by region,"nograd, pest, somogy",Hungary
2991,8340,countries by region,"oppland, nordland, telemark",Norway
2992,8473,where's the college?,university of washington,Seattle
2993,8474,where's the college?,kansas state university,Manhattan
2994,8475,where's the college?,johns hopkins university,Baltimore
2995,8476,where's the college?,university of south carolina,Columbia
2996,8477,where's the college?,university of miami,Coral Gables
2997,8488,waterfalls,wollomombi falls in northern new south wales is one of this continent's highest waterfalls,Australia
2998,8489,waterfalls,"this african waterfall is also known as mosi-oa-tunya, or ""smoke that thunders\""",Victoria Falls
2999,8490,waterfalls,"one of the most spectacular sites in this national park is bridalveil fall, which drops a misty curtain of water 620 feet",Yosemite
3000,8491,waterfalls,the height of shoshone falls on this river in idaho exceeds that of niagara falls,Snake River
3001,8492,waterfalls,this scenic waterfall on the brazil-argentina border actually consists of about 275 individual cataracts,Iguazu Falls
3002,8631,where were you in world war ii?,"co-president, then sole president, of the french committee of national liberation",Charles de Gaulle
3003,8632,where were you in world war ii?,"jailed by the british in poona, august 1942 to may 1944",Mohandas K. Gandhi
3004,8633,where were you in world war ii?,"hitler's designated successor, looting europe for his own art collection",Hermann Goering
3005,8634,where were you in world war ii?,"when not slapping soldiers, leading the third army across germany: [video clue]",George S. Patton
3006,8635,where were you in world war ii?,japanese prime minister until his resignation after the u.s. captured saipan,Hideki Tojo
3007,8867,states' lowest points,8 feet below sea level at new orleans,Louisiana
3008,8868,states' lowest points,282 feet below sea level in death valley,California
3009,8869,states' lowest points,710 feet above sea level at the snake river near lewiston,Idaho
3010,8870,states' lowest points,"3,350 feet above sea level at the arkansas river",Colorado
3011,8871,states' lowest points,95 feet above sea level at the eastern shore of lake champlain,Vermont
3012,8902,where's the body?  author's edition,"she's interred in sleepy hollow cemetery in concord, mass. near her sisters, who were models for beth & meg",Louisa May Alcott
3013,8903,where's the body?  author's edition,want to dig up the dirt on dashiell hammett?  head to this noted virginia cemetery,Arlington National Cemetery
3014,8904,where's the body?  author's edition,"though he won a pulitzer for ""new hampshire"", you'll find this poet's remains in a cemetery in vermont",Robert Frost
3015,8905,where's the body?  author's edition,"stores around the town square of oxford, mississippi closed during his funeral at st. peter's cemetery",William Faulkner
3016,8906,where's the body?  author's edition,"\""called back"" is the epitaph on this poet's amherst grave",Emily Dickinson
3017,8963,where there's a will,"a line in his will that forbade tampering with his work foiled ted turner's attempt to colorize his ""citizen kane\""",Orson Welles
3018,8964,where there's a will,a will naming melvin dummar as beneficiary of 1/16 of this reclusive billionaire's estate was found to be a fraud,Howard Hughes
3019,8965,where there's a will,"in 1933 this president left a will consisting of a single sentence, leaving everything to his wife",Calvin Coolidge
3020,8966,where there's a will,"this ""all that jazz"" director left $25,000 so friends could buy a dinner on him -- must've been some meal",Bob Fosse
3021,8967,where there's a will,this ex-playboy playmate won round 1 (& $449 million) contesting her late 90-year-old husband's will,Anna Nicole Smith
3022,9088,state borders,california & new mexico,Arizona
3023,9089,state borders,florida & south carolina,Georgia
3024,9090,state borders,michigan & pennsylvania,Ohio
3025,9091,state borders,alabama & louisiana,Mississippi
3026,9092,state borders,vermont & maine,New Hampshire
3027,9184,country stars,not surprisingly her website lists as one of her favorite actresses her sister ashley,Wynonna Judd
3028,9185,country stars,"there must have been some ""achy breaky hearts"" when his ponytail was auctioned off for charity",Billy Ray Cyrus
3029,9186,country stars,"this ""gambler"" recently hit the jackpot with ""buy me a rose"", his first chart-topper in 13 years",Kenny Rogers
3030,9187,country stars,"in 2000 these 2 lovebirds sizzled on their ""soul2soul"" tour",Tim McGraw & Faith Hill
3031,9188,country stars,"in 1997 this singer, seen here, took off with a cma award for her ""455 rocket"" music video",Kathy Mattea
3032,9194,state parks,washington's sacajawea state park is located on the site where this expedition camped in 1805,Lewis & Clark
3033,9195,state parks,custer state park in south dakota has one of the world's largest free-roaming herds of these,Buffalo/bison
3034,9196,state parks,a new mexico state park named for this bandit lies on the site of his raid into u.s. territory in 1916,Pancho Villa
3035,9197,state parks,visitors to crater of diamonds state park in this state may keep any precious or semiprecious stones they find,Arkansas
3036,9363,capital city birthplaces,greta garbo,Stockholm
3037,9364,capital city birthplaces,prince peter kropotkin,Moscow
3038,9365,capital city birthplaces,u2's bono,Dublin
3039,9366,capital city birthplaces,ilie nastase,"Bucharest, Romania"
3040,9367,capital city birthplaces,cantinflas,Mexico City
3041,9479,geographic saints,the 2 wavy bars on this city's flag represent the missouri & mississippi rivers,Saint Louis
3042,9480,geographic saints,this newfoundland capital is the closest north american port to europe,Saint John's
3043,9481,geographic saints,spanish-speaking people call this largest of the u.s. virgin islands santa cruz,Saint Croix
3044,9482,geographic saints,in 1659 the english east india company founded the first permanent settlement on this island in the south atlantic,St. Helena
3045,9483,geographic saints,"this french city is named for the first bishop of paris, whose body is supposedly buried near these",Saint Denis
3046,9530,"state of ""grace\""",its address is 3764 elvis presley blvd.,Graceland
3047,9531,"state of ""grace\""","before dialing m for monaco, she was born in philadelphia on nov. 12, 1929",Grace Kelly
3048,9532,"state of ""grace\""","proverbially, ""there but for"" this ""go i\""",the grace of God
3049,9533,"state of ""grace\""",a co-pilot of the jefferson starship,Grace Slick
3050,9534,"state of ""grace\""","sean hayes is ""just jack"" on this sitcom",Will & Grace
3051,9560,state of confusion,"in 1876 this state sent 2 different slates to the electoral college; 124 years later, it threatened to do it again",Florida
3052,9561,state of confusion,"in this state you can ski at big bear, change your mind, drive about 2 hours to redondo beach & hit the surf",California
3053,9562,state of confusion,"we hope someone ""volunteers"" a reason why kentucky lake is the largest artificial lake in this state",Tennessee
3054,9563,state of confusion,"this state got its upper peninsula from wisconsin in 1837, making up for its loss of toledo to ohio",Michigan
3055,9564,state of confusion,western counties in a confederate state seceded & formed this state in 1863,West Virginia
3056,9777,geographic names,"of polynesia, micronesia or melanesia, the one that means ""small islands\""",Micronesia
3057,9778,geographic names,"the chinese sometimes call it sha-mo, or ""sand desert\""",Gobi
3058,9779,geographic names,this southeast asian island nation & its capital have the same name,Singapore
3059,9780,geographic names,this michigan city is named for the stream on which an 1820s skirmish occurred between 2 surveyors & 2 indians,Battle Creek
3060,9781,geographic names,"this turkish strait's name, greek for ""ox ford"", comes from the myth that io swam it after becoming a heifer",Bosporus
3061,10053,continental high points,mt. mckinley,North America
3062,10054,continental high points,mt. everest,Asia
3063,10055,continental high points,mt. kilimanjaro,Africa
3064,10056,continental high points,mt. aconcagua,South America
3065,10057,continental high points,mt. elbrus,Europe (in Russia)
3066,10123,bodies of water,"this african river's drainage basin, the world's longest, covers 35 degrees of latitude",the Nile
3067,10124,bodies of water,in area this canadian bay is more than 3 times as large as all the great lakes combined,Hudson Bay
3068,10125,bodies of water,"at the point where it enters the caspian sea, this russian river is 92 feet below sea level",the Volga
3069,10126,bodies of water,colombia's gulf of uraba is the southernmost extremity of this sea,the Caribbean Sea
3070,10127,bodies of water,large banks of pearl-producing mollusks are found on this gulf's western shore on the arabian peninsula,Persian Gulf
3071,10407,state capitals,1 of the 2 u.s. state capitals that begin with the names of months,"(1 of 2) Juneau, Alaska or Augusta, Maine"
3072,10487,state trees,the douglas type of this 3-letter tree is the state tree of oregon,fir
3073,10488,state trees,"rhode island picked the ""red"" type of this tree; vermont got the ""sugar"" kind",maple
3074,10489,state trees,"delaware chose a type of this tree that's paired with ""the ivy"" in a christmas song",holly
3075,10490,state trees,"when i think of this state tree of texas, i get hungry for pralines",pecan
3076,10491,state trees,"i'd like to dance the charleston under this palmetto state's state tree, the palmetto",South Carolina
3077,10528,state capitals,a statue of king kamehameha i stands guard outside the judiciary building in this capital city,Honolulu
3078,10529,state capitals,from 1701 to 1875 new haven & this city were twin capitals of connecticut; today it's the only one,Hartford
3079,10530,state capitals,the capitol building in this city was designed by thomas jefferson,Richmond
3080,10531,state capitals,"the french called a land formation la petite roche, thus giving this capital its name",Little Rock
3081,10532,state capitals,this state capital is in the green mountains along the winooski river,Montpelier
3082,11125,state mottoes,"general john stark coined this 4-word motto about the 1777 battle of bennington, in which he led 1,400 n.h. volunteers","\""Live Free or Die\\"""
3083,11161,capital punishment,monrovia,Liberia
3084,11162,capital punishment,kinshasa,Congo (formerly Zaire)
3085,11163,capital punishment,muscat,Oman
3086,11164,capital punishment,dakar,Senegal
3087,11165,capital punishment,central america's belmopan,Belize
3088,11256,cities by hotel,"the waldorf-astoria, the plaza, the st. regis",New York City
3089,11257,cities by hotel,"the venetian, the sahara, the luxor",Las Vegas
3090,11258,cities by hotel,"the ambassador, site of rfk's assassination in 1968",Los Angeles
3091,11259,cities by hotel,"the fairmont, after which james brolin's tv ""hotel"" was modeled",San Francisco
3092,11260,cities by hotel,"copley square hotel, the omni parker house, back bay hilton",Boston
3093,11411,countries of the world,2 of the 4 smallest non-island nations in area,"(2 of) The Vatican, Monaco, San Marino & Liechtenstein"
3094,11813,states' men,"ansel adams, william saroyan, richard nixon",California
3095,11814,states' men,"james garner, woody guthrie, will rogers",Oklahoma
3096,11815,states' men,"robert fulton, milton hershey, andy warhol",Pennsylvania
3097,11816,states' men,"sparky anderson, tom brokaw, george mcgovern",South Dakota
3098,11817,states' men,"clark gable, clarence darrow, neil armstrong",Ohio
3099,12037,stately first names,this author created ichabod crane & rip van winkle,Washington Irving
3100,12038,stately first names,"sean connery played this character's dad, henry, in a 1989 film",Indiana Jones
3101,12039,stately first names,"cathy reveals that ""suddenly, last summer"" cousin sebastian was cannibalized in a play by this man",Tennessee Williams
3102,12040,stately first names,"\""fast"" eddie felson challenges this ""stately"" pool player in ""the hustler\""",Minnesota Fats
3103,12041,stately first names,"like her contemporary james joyce, this author of ""to the lighthouse"" used stream of consciousness",Virginia Woolf
3104,12174,cities in india,until 1912 it was the capital of british india (black hole & all),Calcutta
3105,12175,cities in india,in this city you'll find the national museum & the rashtrapati bhavan or president's house,New Delhi
3106,12176,cities in india,this heavily populated port city & capital of maharashtra state is the leading financial center of india,Bombay/Mumbai
3107,12177,cities in india,"over 2,000 died when the union carbide chemical plant in this city leaked toxic gas in 1984",Bhopal
3108,12178,cities in india,mumtaz knows it's the northern india city that's home to the pearl mosque & the taj mahal,Agra
3109,12273,capital city hotels,the dorchester & the savoy,London
3110,12274,capital city hotels,hostel aphrodite & hotel achilleas,Athens
3111,12275,capital city hotels,hostel la macarena & hostel cervantes,Madrid
3112,12276,capital city hotels,the hotel romischer kaiser & the amadeus hotel,Vienna
3113,12277,capital city hotels,hotel erzsebet & the club hotel petnehazy,Budapest
3114,12371,"where is every ""body""?",a person who meddles or pries into the affairs of others,Busybody
3115,12372,"where is every ""body""?",the process of developing human musculature especially for competitive exhibition,Bodybuilding
3116,12373,"where is every ""body""?",to ride the waves to shore without a board,Bodysurfing
3117,12374,"where is every ""body""?",one whose interests center on his dwelling place,Homebody
3118,12375,"where is every ""body""?",a substance produced in the blood in response to a specific toxin,Antibody
3119,13139,museums,the national air & space museum is one of this institutions most visited museums,Smithsonian
3120,13140,museums,"learn all about ""the world of"" this soft drink at its museum in atlanta",Coca-Cola
3121,13141,museums,"a national memorial, the hall of remembrance is part of this washington d.c. museum",the Holocaust Museum
3122,13142,museums,"a museum in wimberley, texas, contains copies of all the known bronzes by this ""bronco buster"" sculptor",Remington
3123,13143,museums,"what was once the chicago natural history museum is now called this, after its founder",the Field Museum
3124,13214,where they're from,matt damon hails from this education-oriented boston-area city,Cambridge
3125,13215,where they're from,"though born in washington, d.c., this ""kiss of the spider woman"" oscar winner was raised in the south pacific",William Hurt
3126,13216,where they're from,"wynton & branford marsalis were both born in this southern ""crescent city\""",New Orleans
3127,13217,where they're from,"this sitcom star says massapequa, n.y., where he grew up, has an indian name that means ""by the mall\""",(Jerry) Seinfeld
3128,13373,borderline states,"idaho, oregon",Washington
3129,13374,borderline states,"massachusetts, new hampshire, new york",Vermont
3130,13375,borderline states,"idaho, north dakota, south dakota, wyoming",Montana
3131,13376,borderline states,"arkansas, mississippi, texas",Louisiana
3132,13377,borderline states,"illinois, iowa, michigan, minnesota",Wisconsin
3133,35,where were you last night?,dancing at le balajo on the rue de lappe,Paris
3134,36,where were you last night?,just checking out the view from the top of the mark hopkins,San Francisco
3135,37,where were you last night?,singing karaoke in shinjuku,Tokyo
3136,38,where were you last night?,down in plaka listening to bouzouki music,Athens
3137,39,where were you last night?,having steak gaucho-style at la chacra,Buenos Aires
3138,356,countries in spanish,sudafrica,South Africa
3139,357,countries in spanish,argelia,Algeria
3140,358,countries in spanish,libano,Lebanon
3141,359,countries in spanish,suecia,Sweden
3142,360,countries in spanish,paises bajos,Low Countries (or the Netherlands or Holland)
3143,374,volcanos,"of the u.s. states with active volcanos, this state is farthest south",Hawaii
3144,521,"where the ""boy""s are?",a restaurant employee who clears away dirty dishes,a busboy
3145,522,"where the ""boy""s are?",to abstain from using or buying something as a form of protest,a boycott
3146,523,"where the ""boy""s are?",this adjective often used of liberace can mean resplendent or marked by striking audacity,flamboyant
3147,676,state capitals,this city is home to the empire state plaza,Albany
3148,677,state capitals,it's named for the third president of the u.s.,Jefferson City
3149,678,state capitals,"while portland is maine's main city, this is the capital",Augusta
3150,679,state capitals,"the first capital of the confederacy, it's nicknamed ""the cradle of the confederacy\""","Montgomery, Alabama"
3151,680,state capitals,"fall river, massachusetts is part of the metropolitan area of this state capital",Providence
3152,759,beach boys,crockett & tubbs were always cruising trendy beach hotspots on this influential '80s tv series,Miami Vice
3153,760,beach boys,"for awhile in ""beach blanket bingo"" this actor romances linda evans, not annette",Frankie Avalon
3154,761,beach boys,a guest house on the beachfront estate of wealthy robin masters is the home of this title tv detective,"Magnum, P.I."
3155,762,beach boys,"this actor rolls on the sand & in the surf with deborah kerr in ""from here to eternity\""",Burt Lancaster
3156,763,beach boys,fred astaire's first dramatic role was in this 1959 post-nuclear war nevil shute drama set partly in australia,On the Beach
3157,982,where am i?,"the muzej za umjetnost i obrt in zagreb, croatia sounded exotic until i found out it was the museum of arts & these",crafts
3158,983,where am i?,the herengracht is one of the grand canals of this dutch capital,Amsterdam
3159,984,where am i?,"with all the smog the day i was in santiago, chile, it was tough to see this mountain range towering over the city",the Andes
3160,985,where am i?,the ivan the great bell tower is the tallest structure within the walls of this moscow landmark,the Kremlin
3161,1152,where have you been all my life?,spending time in the white house & graduating from stanford in 2001,Chelsea Clinton
3162,1153,where have you been all my life?,"prosecuting the ""pizza connection"" case before becoming fbi director in 1993",Louis Freeh
3163,1154,where have you been all my life?,"president of yale, then baseball commissioner ruling on pete rose",A. Bartlett Giamatti
3164,1155,where have you been all my life?,"writing novels about tense married couples, & being written about in the memoir ""u and i\""",John Updike
3165,1340,capital city birthplaces,director roberto rossellini,Rome
3166,1341,capital city birthplaces,marcel proust,Paris
3167,1342,capital city birthplaces,ricardo montalban,Mexico City
3168,1343,capital city birthplaces,melina mercouri,Athens
3169,1344,capital city birthplaces,martina navratilova,Prague
3170,1510,state borders,kansas & utah,Colorado
3171,1511,state borders,oklahoma & arkansas,Texas
3172,1512,state borders,new york & ohio,Pennsylvania
3173,1513,state borders,montana & oregon,Idaho
3174,1514,state borders,north carolina & west virginia,Virginia
3175,1612,provinces,new brunswick & prince edward island,Canada
3176,1613,provinces,krakow & gdansk,Poland
3177,1614,provinces,parwan & kabul,Afghanistan
3178,1615,provinces,punjab & baluchistan,Pakistan
3179,1616,provinces,chaco & la pampa,Argentina
3180,1931,mountains,"in may 2001 erik weihenmayer climbed everest, not considering this condition of his a handicap",blindness
3181,1932,mountains,its southern slope extends down to suruga bay near tokyo,Mount Fuji
3182,1933,mountains,it's the mountain chain in the names of a u.s. sheep & goat,Rocky Mountains
3183,1934,mountains,the hudson river rises in this group of mountains in northeast new york,Adirondacks
3184,1935,mountains,the lebanon mountains' most famous remaining grove of these trees is near the town of bsharre,cedars
3185,2228,strait to the point,the english channel connects to this sea via the strait of dover,the North Sea
3186,2229,strait to the point,this strait separates the fourth-largest nation of the world from the largest,the Bering Strait
3187,2230,strait to the point,the bosporus strait is straddled by this city,Istanbul
3188,2231,strait to the point,this strait runs through the pillars of hercules,the Strait of Gibraltar
3189,2232,strait to the point,the gulf of oman is connected to this gulf by the strait of hormuz,the Persian Gulf
3190,2375,state capitals,the governor's mansion housing george pataki is in this city,Albany
3191,2376,state capitals,in 1861 abe lincoln moved from this illinois city and headed for d.c.,Springfield
3192,2377,state capitals,think about it... this city was first settled by john harris around 1718,Harrisburg
3193,2378,state capitals,huey long was shot at the state capitol in this city in 1935,Baton Rouge
3194,2379,state capitals,"it's known as ""the crossroads of the pacific\""",Honolulu
3195,2514,museums,"you can learn the history of the microprocessor & how it's made at this computer chip maker's santa clara, ca. museum",Intel
3196,2515,museums,the national atomic museum in albuquerque has an exhibit on this polish radiation pioneer & her husband pierre,Marie Curie
3197,2516,museums,"boneshakers, velocipedes & schwinns abound in the ohio museum honoring this mode of transport",bicycle
3198,2517,museums,cartoon boy sherman might get his questions answered at this museum of natural history at yale,Peabody Museum
3199,2518,museums,"saturday evening post covers are on display at the rutland, vermont  museum devoted to this illustrator",(Norman) Rockwell
3200,2646,state capitals,"of the 4 state capitals named for u.s. presidents, it's the one that's farthest south","Jackson, Mississippi"
3201,2708,state capitals of the world,"25 miles north of terre haute in this state, you'll find parke county, the covered bridge capital of the world",Indiana
3202,2709,state capitals of the world,"most cities would cringe, but hidalgo in this u.s. state embraced being the killer bee capital",Texas
3203,2710,state capitals of the world,a killer place to visit is the shark's tooth capital of the world in sarasota county in this state,Florida
3204,2711,state capitals of the world,"miss usa, not al gore, was grand marshal at this state's mule-lennium party in columbia, the mule capital",Tennessee
3205,2712,state capitals of the world,vidalia is not only this state's official vegetable but the city that's the sweet onion capital of the world,Georgia
3206,2854,islands,new york owns the original 3.3 acres of this immigration site; new jersey owns the 24.2 acres of landfill,Ellis Island
3207,2855,islands,"this island's cape morris jessup, the northernmost land in the world, lies just 440 miles from the north pole",Greenland
3208,2856,islands,this ecuadorian island group's animal life includes a rare flightless cormorant & 2 species of iguana,the Galápagos
3209,2857,islands,this island & labrador form canada's easternmost province,Newfoundland
3210,2858,islands,the inhabitants of gomera in this spanish group off northwest africa communicate over distances using a whistled language,the Canary Islands
3211,2876,mountain time,every summer it's time to rev your engines for a race to the top of this famous colorado peak,Pikes Peak
3212,2877,mountain time,it's the highest mountain in greece & that's no myth!,Mount Olympus
3213,2878,mountain time,"these mountains extend into 7 countries, including colombia, ecuador & peru",the Andes
3214,2879,mountain time,rip van winkle took his 20-year snooze in these mountains of new york,the Catskills
3215,2880,mountain time,"check your map book: these mountains extend more than 1,200 miles across morocco, algeria & tunisia",the Atlas Mountains
